Age,Gender,Review,Education,Purchased
54,Female,Good,PG,Yes
53,Female,Poor,PG,No
45,Male,Good,PG,Yes
46,Female,Good,UG,Yes
26,Male,Good,UG,No
48,Female,Poor,UG,No
28,Male,Good,UG,Yes
36,Female,Good,UG,No
33,Male,Good,UG,Yes
50,Female,Poor,UG,Yes
32,Female,Good,PG,Yes
38,Male,Good,PG,Yes
44,Female,Good,UG,Yes
56,Female,Average,UG,Yes
18,Male,Good,UG,No
25,Male,Poor,PG,No
63,Male,Good,UG,No
49,Male,Average,UG,No
33,Male,Good,UG,Yes
30,Other,Good,UG,No
24,Male,Average,UG,No
35,Male,Average,PG,Yes
18,Female,Poor,UG,No
25,Female,Good,UG,Yes
48,Female,Good,UG,Yes
24,Male,Poor,PG,No
37,Female,Average,PG,No
18,Female,Good,PG,No
51,Female,Good,UG,Yes
55,Male,Good,UG,Yes
30,Male,Good,PG,Yes
42,Female,Good,PG,No
31,Male,Average,UG,Yes
43,Female,Poor,UG,Yes
42,Male,Good,UG,No
31,Male,Average,UG,No
21,Female,Average,UG,Yes
42,Male,Good,PG,Yes
23,Female,Poor,UG,Yes
38,Male,Average,PG,Yes
18,Male,Average,PG,No
27,Male,Average,UG,No
58,Male,Good,PG,Yes
50,Female,Poor,UG,No
47,Male,Poor,UG,No
22,Female,Average,PG,No
62,Male,Average,UG,No
20,Female,Good,UG,Yes
46,Female,Average,PhD,No
28,Male,Good,PG,No
57,Female,Good,UG,No
48,Male,Average,PG,No
34,Other,Good,PG,Yes
42,Male,Poor,PhD,Yes
63,Female,Average,PG,No
41,Male,Poor,PG,Yes
41,Other,Good,UG,Yes
39,Female,Average,PhD,Yes
56,Male,Good,UG,No
39,Female,Poor,PG,No
42,Male,Average,UG,No
43,Male,Average,UG,No
59,Female,Good,UG,Yes
48,Female,Good,UG,No
41,Female,Poor,UG,No
34,Other,Good,UG,Yes
62,Female,Good,PhD,No
41,Female,Poor,UG,No
19,Male,Poor,PG,No
50,Female,Poor,PhD,Yes
55,Female,Good,PG,Yes
40,Female,Good,UG,Yes
39,Other,Good,PG,No
52,Female,Average,UG,Yes
20,Male,Average,UG,No
20,Female,Good,UG,No
39,Male,Average,UG,Yes
18,Male,Average,PhD,Yes
38,Male,Average,UG,Yes
40,Male,Poor,PG,Yes
19,Female,Good,UG,Yes
56,Female,Average,UG,Yes
27,Male,Poor,UG,No
28,Male,Average,PhD,No
47,Female,Good,PG,No
29,Male,Average,UG,Yes
41,Female,Average,UG,Yes
27,Male,Good,UG,Yes
58,Female,Average,PG,Yes
35,Female,Good,UG,Yes
29,Female,Good,UG,No
37,Male,Average,UG,No
34,Male,Average,UG,No
44,Female,Poor,PG,Yes
50,Other,Average,UG,Yes
53,Male,Good,PG,Yes
53,Male,Good,PhD,Yes
35,Male,Average,UG,Yes
31,Female,Good,PG,No
33,Female,Average,PG,No
61,Male,Poor,UG,Yes
54,Male,Average,PhD,No
62,Female,Good,UG,Yes
44,Male,Average,UG,No
23,Male,Average,UG,Yes
22,Male,Good,UG,Yes
64,Female,Poor,UG,Yes
21,Female,Good,PG,Yes
64,Female,Average,PhD,No
20,Female,Good,PhD,Yes
38,Male,Average,UG,No
38,Other,Average,PG,No
41,Male,Good,PG,Yes
26,Female,Good,UG,Yes
43,Male,Good,UG,No
35,Female,Poor,PG,Yes
56,Male,Average,PhD,Yes
48,Male,Average,UG,Yes
45,Male,Good,UG,No
40,Male,Average,UG,No
22,Female,Good,UG,Yes
18,Female,Good,UG,Yes
36,Female,Good,PG,Yes
32,Female,Good,PG,Yes
32,Other,Good,PG,Yes
31,Female,Good,UG,No
34,Male,Poor,UG,Yes
31,Female,Good,PG,No
56,Other,Good,UG,No
40,Male,Poor,PG,Yes
63,Other,Poor,UG,Yes
33,Male,Average,UG,No
63,Male,Average,UG,Yes
45,Female,Poor,UG,No
24,Female,Good,UG,Yes
32,Male,Poor,PG,Yes
30,Male,Average,UG,Yes
64,Female,Good,PG,Yes
22,Male,Average,UG,Yes
59,Male,Good,UG,No
57,Male,Good,UG,Yes
62,Male,Good,UG,No
63,Male,Good,UG,Yes
30,Male,Poor,PG,No
25,Male,Good,PG,Yes
34,Male,Average,PhD,No
57,Female,Average,PhD,Yes
29,Other,Good,UG,No
32,Male,Good,PG,Yes
43,Female,Good,UG,Yes
